id,titre,description,ville,domaine,contrat,niveau_etude
260,CDD Frontend,"CDD Frontend basé à Tanger, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Dev Web,CDD,Bac+5
261,CDD RH Généraliste,"CDD RH Généraliste basé à Rabat, domaine Management - RH. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Management - RH,CDD,Bac+2
262,Stage Dev Web,"Stage Dev Web basé à Oujda, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Oujda,Informatique - Dev Web,Stage,Bac+5
263,CDI Consultant BI,"CDI Consultant BI basé à Rabat, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Informatique - BI,CDI,Bac+5
264,CDD RH Généraliste,"CDD RH Généraliste basé à Oujda, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Oujda,Management - RH,CDD,Bac+3
265,Stage Marketing Digital,"Stage Marketing Digital basé à Fès, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Management - Marketing,Stage,Bac+2
266,CDI Responsable SEO,"CDI Responsable SEO basé à Oujda, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Management - Marketing,CDI,Bac+3
267,CDD Frontend,"CDD Frontend basé à Fès, domaine Informatique - Dev Web. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Informatique - Dev Web,CDD,Bac+3
268,CDI Ingénieur IA,"CDI Ingénieur IA basé à Marrakech, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - IA,CDI,Bac+3
269,CDI Analyste Sécurité,"CDI Analyste Sécurité basé à Rabat, domaine Informatique - Cybersecurite. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Informatique - Cybersecurite,CDI,Bac+2
270,CDD Frontend,"CDD Frontend basé à Tanger, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Dev Web,CDD,Bac+2
271,Stage RH,"Stage RH basé à Marrakech, domaine Management - RH. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Management - RH,Stage,Bac+2
272,Stage IA,"Stage IA basé à Fès, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Informatique - IA,Stage,Bac+3
273,CDI Consultant BI,"CDI Consultant BI basé à Oujda, domaine Informatique - BI. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Informatique - BI,CDI,Bac+3
274,CDI Responsable SEO,"CDI Responsable SEO basé à Fès, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Management - Marketing,CDI,Bac+3
275,CDD RH Généraliste,"CDD RH Généraliste basé à Fès, domaine Management - RH. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Management - RH,CDD,Bac+2
276,CDD Sécurité Réseau,"CDD Sécurité Réseau basé à Oujda, domaine Informatique - Cybersecurite. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Oujda,Informatique - Cybersecurite,CDD,Bac+3
277,Stage Dev Web,"Stage Dev Web basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,Stage,Bac+2
278,Stage BI,"Stage BI basé à Agadir, domaine Informatique - BI. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - BI,Stage,Bac+3
279,CDI Analyste Sécurité,"CDI Analyste Sécurité basé à Fès, domaine Informatique - Cybersecurite. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Informatique - Cybersecurite,CDI,Bac+3
280,Stage Marketing Digital,"Stage Marketing Digital basé à Agadir, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Marketing,Stage,Bac+2
281,Stage Dev Web,"Stage Dev Web basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,Stage,Bac+2
282,Stage Dev Web,"Stage Dev Web basé à Agadir, domaine Informatique - Dev Web. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - Dev Web,Stage,Bac+3
283,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Fès, domaine Management - RH. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Management - RH,CDI,Bac+5
284,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Fès, domaine Management - RH. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Management - RH,CDI,Bac+5
285,Stage Comptabilité,"Stage Comptabilité basé à Agadir, domaine Management - Comptabilité. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Comptabilité,Stage,Bac+3
286,CDI Ingénieur IA,"CDI Ingénieur IA basé à Casablanca, domaine Informatique - IA. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - IA,CDI,Bac+5
287,Stage Comptabilité,"Stage Comptabilité basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,Stage,Bac+5
288,Stage Comptabilité,"Stage Comptabilité basé à Agadir, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Comptabilité,Stage,Bac+5
289,CDD Analyste Données,"CDD Analyste Données basé à Rabat, domaine Informatique - BI. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Informatique - BI,CDD,Bac+3
290,Stage Comptabilité,"Stage Comptabilité basé à Fès, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Management - Comptabilité,Stage,Bac+2
291,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Rabat, domaine Management - RH. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Management - RH,CDI,Bac+3
292,Stage IA,"Stage IA basé à Marrakech, domaine Informatique - IA. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - IA,Stage,Bac+2
293,Stage Marketing Digital,"Stage Marketing Digital basé à Agadir, domaine Management - Marketing. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Management - Marketing,Stage,Bac+2
294,CDD Frontend,"CDD Frontend basé à Casablanca, domaine Informatique - Dev Web. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - Dev Web,CDD,Bac+3
295,Stage IA,"Stage IA basé à Agadir, domaine Informatique - IA. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Agadir,Informatique - IA,Stage,Bac+5
296,CDI Ingénieur IA,"CDI Ingénieur IA basé à Rabat, domaine Informatique - IA. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Informatique - IA,CDI,Bac+2
297,CDD Sécurité Réseau,"CDD Sécurité Réseau basé à Tanger, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Cybersecurite,CDD,Bac+5
298,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Tanger, domaine Informatique - Dev Web. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Dev Web,CDI,Bac+3
299,Stage RH,"Stage RH basé à Casablanca, domaine Management - RH. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Casablanca,Management - RH,Stage,Bac+2
300,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Tanger, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Tanger,Management - Comptabilité,CDI,Bac+2
